stop_code,stop_name,route_short_name,route_long_name,route_type,route_color,route_text_color,direction_id,eol_stop_names_all,eol_stop_names_day,eol_stop_names_owl,start_time,end_time,day_headway,owl_headway,day_headway_min,owl_headway_min,mon,tue,wed,thu,fri,sat,sun
10390,19th Avenue & Holloway St,28,19TH AVENUE,3,005B95,FFFFFF,1,Powell St & Beach St@@@259,Powell St & Beach St@@@105,,05:10:00,24:06:00,12.029411764705882,,11.970588235294118,,1,1,1,1,1,1,1
10390,19th Avenue & Holloway St,28R,19TH AVENUE RAPID,3,BF2B45,FFFFFF,1,California St & 7th Ave@@@61,California St & 7th Ave@@@35,,07:08:00,19:08:00,11.970588235294118,,11.970588235294118,,1,1,1,1,1,0,0
10390,19th Avenue & Holloway St,29,SUNSET,3,005B95,FFFFFF,1,25th Ave & El Camino Del Mar@@@34###Bowley St & Lincoln Blvd@@@245,Bowley St & Lincoln Blvd@@@119,,05:35:00,24:30:00,12.0,,8.604166666666666,,1,1,1,1,1,1,1
10390,19th Avenue & Holloway St,91,3RD-19TH AVE OWL,3,666666,FFFFFF,0,West Portal Ave & Ulloa St@@@33,,West Portal Ave & Ulloa St@@@21,24:05:00,29:05:00,,30.0,,30.0,1,1,1,1,1,1,1
10913,Dublin St & La Grande Ave,52,EXCELSIOR,3,005B95,FFFFFF,1,Laguna Honda Blvd/Forest Hill Sta@@@105,Laguna Honda Blvd/Forest Hill Sta@@@48,,08:00:00,22:00:00,30.23076923076923,,20.263157894736842,,1,1,1,1,1,1,1
13016,3rd St & 4th St,91,3RD-19TH AVE OWL,3,666666,FFFFFF,0,West Portal Ave & Ulloa St@@@39,,West Portal Ave & Ulloa St@@@24,23:55:32,29:55:29,,30.0,,30.0,1,1,1,1,1,1,1
13016,3rd St & 4th St,TBUS,THIRD BUS,3,BF2B45,FFFFFF,1,Visitacion Ave & Bay Shore Blvd@@@28,,,05:17:22,06:02:22,,,,,1,1,1,1,1,1,1
13018,Bacon St & San Bruno Ave,54,FELTON,3,005B95,FFFFFF,0,Daly City BART West Station Rd@@@142,Daly City BART West Station Rd@@@63,,06:05:00,22:15:00,20.1,,20.05,,1,1,1,1,1,1,1
13019,Bacon St & San Bruno Ave,54,FELTON,3,005B95,FFFFFF,1,Newhall St & Hudson@@@145,Newhall St & Hudson@@@63,,06:11:00,22:27:00,20.15,,20.1,,1,1,1,1,1,1,1
13020,Bacon St & Somerset St,54,FELTON,3,005B95,FFFFFF,0,Daly City BART West Station Rd@@@142,Daly City BART West Station Rd@@@63,,06:06:19,22:16:00,20.1,,20.05,,1,1,1,1,1,1,1
13021,Bacon St & Somerset St,54,FELTON,3,005B95,FFFFFF,1,Newhall St & Hudson@@@144,Newhall St & Hudson@@@63,,06:09:48,22:25:39,20.15,,20.1,,1,1,1,1,1,1,1
