Row Labels,ROUTE_NAME,DIRECTION,STOP_LINE_SEQUENCE,STOP_NAME,BS_ID,Sum of AVG_VEH_ONS,Sum of AVG_VEH_OFFS
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,1,Cesar Chavez&Bartlett St NE-NS/BZ,7744,13,1
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,2,Valencia St&Cesar Chavez St NE-FS/BB,6881,18,0
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,3,26th St&Mission St SE-FS/BZ,3519,52,2
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,4,26th St&South Van Ness Ave SW-NS/SB,3523,14,1
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,5,26th St&Folsom St SW-NS/PS,8070,64,10
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,6,Folsom St&25TH St SE-NS/PS,4681,21,1
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,7,Folsom St&24TH St NE-FS/BB,4677,118,6
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,8,Folsom St&22ND St NE-FS/BB,4675,75,10
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,9,Folsom St&20TH St NE-FS/BB,7733,108,31
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,10,Folsom St&20TH St NE-FS/BB,7733,108,31
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,11,Folsom St&18TH St NE-FS/SBZ,4671,29,17
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,12,Folsom St&16TH St NE-FS/BZ,4668,76,84
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,13,Folsom St&14TH St SE-NS/BZ,4667,79,56
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,14,Folsom St&11TH St E-FS/BZ,4664,78,38
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,15,Folsom St&9TH St E-FS/BZ,4663,43,38
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,16,Folsom St&8TH St E-FS/BZ,4662,50,24
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,17,Folsom St&7TH St S-NS/BZ,4661,67,46
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,18,Folsom St&6TH St E-FS/BZ,4660,45,38
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,19,Folsom St&5TH St E-FS/BZ,4659,32,36
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,20,Folsom St&4TH St E-FS/BZ,4658,64,83
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,21,Folsom St&3RD St E-FS/SI,4657,27,139
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,22,Folsom St&2ND St E-NS/BI,7024,11,54
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,23,Folsom St&1ST St E-FS/BB,4655,57,90
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,24,Main St&Folsom St NE-FS/BZ,7992,70,43
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,25,Main St&Howard St N-FS/BZ,5334,58,13
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,26,Main St&Market St NE-MB/BB,5336,47,17
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,27,Drumm St&California St NE-FS/BZ,4445,165,33
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,28,Sacramento St&Davis St NE-NS/BZ,6294,134,39
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,29,Sansome St&Sacramento St NE-FS/BZ,6333,87,26
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,30,Sansome St&Washington St NE-FS/BZ,6337,47,29
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,31,Pacific Ave&Sansome St NW-FS/BZ,5854,123,70
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,32,Pacific Ave&Montgomery St NE-NS/SB,5849,30,19
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,33,Pacific Ave&Kearny St NE-NS/PS,5842,64,52
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,34,Pacific Ave&Grant Ave NE-NS/BZ,5837,322,121
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,35,Pacific Ave&Stockton St NW-FS/BZ,7737,621,303
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,36,Pacific Ave&Powell St NE-NS/BZ,5852,109,126
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,37,Pacific Ave&Mason St NE-NS/SB,5847,51,251
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,38,Pacific Ave&Taylor St NE-NS/PS,5856,27,162
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,39,Pacific Ave&Jones St NE-NS/PS,5840,8,120
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,40,Pacific Ave&Leavenworth St NE-NS/PS,5845,7,177
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,41,Pacific Ave&Hyde St NE-NS/SB,5838,5,160
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,42,Pacific Ave&Larkin St NE-NS/PS,5843,2,143
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,43,Pacific Ave&Polk St NE-NS/BZ,5850,13,324
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,INBOUND,44,Jackson St&Van Ness Ave NE-NS/BZ,5165,0,127
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,1,Jackson St&Van Ness Ave NE-NS/BZ,5165,94,2
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,2,Pacific Ave&Van Ness Ave SE-FS/BZ,5859,229,2
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,3,Pacific Ave&Polk St SE-FS/BZ,5851,261,1
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,4,Pacific Ave&Larkin St SW-NS/PS,5844,96,2
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,5,Pacific Ave&Hyde St SW-NS/PS,5839,112,11
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,6,Pacific Ave&Leavenworth St SW-NS/PS,5846,115,19
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,7,Pacific Ave&Jones St SW-NS/PS,5841,54,13
2022-08-20 to 2022-09-30 (2022 Summer),12-Folsom/Pacific,OUTBOUND,8,Pacific Ave&Taylor St SW-NS/PS,5857,43,23
