stop_code,n
17264,10
15695,10
15694,10
15678,10
15676,10
15657,10
15656,10
15655,10
15652,10
15651,10
15639,10
15685,9
15680,9
15669,9
15658,9
15650,9
15647,9
15645,9
15643,9
15640,9
13161,9
15696,8
15692,8
13772,8
16501,7
16352,7
13160,7
13136,7
16526,6
16524,6
16522,6
16521,6
16516,6
16475,6
15926,6
15681,6
15675,6
15673,6
15672,6
15668,6
15659,6
15247,6
14947,6
14946,6
14821,6
14805,6
14341,6
13927,6
13793,6
13159,6
13158,6
13144,6
13124,6
17899,5
17671,5
17191,5
16937,5
16806,5
16801,5
16513,5
16371,5
16364,5
16362,5
16358,5
16357,5
16355,5
16350,5
16346,5
16345,5
16038,5
15693,5
15691,5
15687,5
15641,5
15638,5
15552,5
15418,5
15223,5
14968,5
14886,5
14884,5
14883,5
14811,5
14810,5
14803,5
14735,5
14725,5
13783,5
13476,5
13238,5
13215,5
13141,5
13089,5
17957,4
17917,4
17915,4
17914,4
17900,4
17886,4
17742,4
17563,4
17334,4
17324,4
17321,4
17217,4
17125,4
17026,4
16997,4
16996,4
16995,4
16994,4
16992,4
16955,4
16954,4
16940,4
16939,4
16938,4
16935,4
16934,4
16933,4
16932,4
16898,4
16847,4
16819,4
16800,4
16596,4
16503,4
16498,4
16497,4
16373,4
16369,4
16367,4
16366,4
16361,4
16360,4
16348,4
16119,4
16039,4
16037,4
15863,4
15795,4
15794,4
15731,4
15727,4
15690,4
15689,4
15684,4
15661,4
15621,4
15571,4
15566,4
15565,4
15551,4
15469,4
15419,4
15417,4
15244,4
15184,4
15071,4
14970,4
14969,4
14958,4
14950,4
14943,4
14940,4
14938,4
14891,4
14890,4
14889,4
14882,4
14881,4
14823,4
14120,4
14119,4
14099,4
14096,4
14095,4
14094,4
13779,4
13778,4
13696,4
13608,4
13352,4
13311,4
13218,4
13216,4
18115,3
18114,3
18039,3
18032,3
18031,3
17999,3
17996,3
17976,3
17912,3
17911,3
17910,3
17909,3
17908,3
17888,3
17842,3
17841,3
17758,3
17554,3
17520,3
17447,3
17378,3
17377,3
17304,3
17300,3
17289,3
17205,3
17099,3
17036,3
16953,3
16952,3
16951,3
16855,3
16854,3
16853,3
16852,3
16851,3
16850,3
16848,3
16846,3
16845,3
16836,3
16738,3
16736,3
16695,3
16606,3
16570,3
16523,3
16520,3
16512,3
16511,3
16365,3
16343,3
16112,3
16089,3
16066,3
16061,3
16060,3
16056,3
16055,3
16054,3
16045,3
16034,3
16027,3
16026,3
16015,3
16012,3
16010,3
15881,3
15880,3
15879,3
15877,3
15874,3
15864,3
15809,3
15808,3
15807,3
15806,3
15798,3
15797,3
15793,3
15788,3
15787,3
15786,3
15780,3
15779,3
15768,3
15767,3
15766,3
15711,3
15667,3
15665,3
15663,3
15654,3
15648,3
15646,3
15644,3
15642,3
15626,3
15620,3
15614,3
15613,3
15605,3
15586,3
15572,3
15558,3
15557,3
15553,3
15545,3
15541,3
15540,3
15536,3
15535,3
15468,3
15465,3
15464,3
15459,3
15458,3
15336,3
15285,3
15284,3
15275,3
15274,3
15273,3
15272,3
15253,3
15245,3
15243,3
15242,3
15236,3
15235,3
15225,3
15224,3
15220,3
15219,3
15216,3
15215,3
15214,3
15213,3
15212,3
15211,3
15210,3
15209,3
15208,3
15207,3
15206,3
15205,3
15204,3
15203,3
15202,3
15201,3
15200,3
15199,3
15198,3
15197,3
15196,3
15195,3
15194,3
15193,3
15138,3
15124,3
15118,3
15051,3
15045,3
14961,3
14960,3
14957,3
14952,3
14951,3
14937,3
14900,3
14894,3
14888,3
14878,3
14844,3
14843,3
14839,3
14838,3
14827,3
14826,3
14822,3
14820,3
14819,3
14818,3
14817,3
14799,3
14798,3
14796,3
14795,3
14726,3
14547,3
14531,3
14530,3
14511,3
14510,3
14509,3
14508,3
14389,3
14388,3
14387,3
14386,3
14236,3
14224,3
14091,3
14015,3
14006,3
13915,3
13914,3
