stop_code,BS_ID,STOP_NAME,stop_lat,stop_lon,max_ons,log_max_ons
10390,390,19th Ave&Holloway Ave NE-FS/BZ,37.72119,-122.475153,912,500..1000
10913,913,Dublin St&La Grande Ave SE-NS/BZ,37.719192,-122.425802,14,10..20
13016,3016,3rd St&Mission Rock St S-FS/SB,37.772618,-122.389786,5,5..10
13018,3018,Bacon St&San Bruno Ave N-MB/BZ,37.727739,-122.40324,86,50..100
13019,3019,Bacon St&San Bruno Ave E-FS/BZ,37.727645,-122.403269,370,200..500
13020,3020,Bacon St&Somerset St NE-NS,37.72667,-122.40746,12,10..20
13021,3021,Bacon St&Somerset St SW-NS,37.72654,-122.40766,9,5..10
13023,3023,Baker Beach Parking Lot SW-FS/SB,37.790249,-122.482263,49,20..50
13024,3024,Baker St&Greenwich St SE-NS,37.797606,-122.445693,1,0..2
13031,3031,Bay St&Midway St SE-FS/SB,37.806094,-122.409161,6,5..10
13032,3032,Balboa St&4TH Ave NE-NS/BZ,37.777396,-122.461751,10,10..20
13033,3033,Balboa St&4TH Ave SW-NS/BZ,37.777262,-122.461969,59,50..100
13034,3034,Balboa St&6TH Ave NW-FS/BZ,37.777289,-122.464158,75,50..100
13035,3035,Balboa St&6TH Ave SE-FS/BZ,37.777173,-122.463849,147,100..200
13036,3036,Balboa St&8TH Ave NE-NS/PS,37.777199,-122.466038,16,10..20
13037,3037,Balboa St&8TH Ave SW-NS/PS,37.777065,-122.466256,30,20..50
13038,3038,Balboa St&10TH Ave NE-NS/PS,37.777101,-122.46817,12,10..20
13039,3039,Balboa St&10TH Ave SW-NS/PS,37.776967,-122.468388,26,20..50
13040,3040,Balboa St&12TH Ave NE-NS/PS,37.777002,-122.470313,8,5..10
13041,3041,Balboa St&12TH Ave SW-NS/PS,37.776868,-122.470531,19,10..20
13043,3043,Balboa St&17TH Ave NE-NS/PS,37.77676,-122.475769,12,10..20
13044,3044,Balboa St&17TH Ave SW-NS/PS,37.776626,-122.475987,41,20..50
13045,3045,Balboa St&19TH Ave NE-NS/BZ,37.776662,-122.477912,17,10..20
13046,3046,Balboa St&19TH Ave SW-NS/BZ,37.776528,-122.47813,49,20..50
13047,3047,Balboa St&21ST Ave NE-NS/PS,37.776563,-122.480056,10,10..20
13048,3048,Balboa St&21ST Ave SW-NS/PS,37.776429,-122.480273,28,20..50
13049,3049,Balboa St&23RD Ave NE-NS/PS,37.77647,-122.48219,5,5..10
13050,3050,Balboa St&23RD Ave SW-NS/SB,37.77633,-122.482417,25,20..50
13051,3051,Balboa St&25TH Ave NW-FS/BZ,37.776356,-122.484606,31,20..50
13052,3052,Balboa St&25TH Ave SE-FS/BZ,37.77624,-122.484296,62,50..100
13053,3053,Balboa St&28TH Ave NE-NS/BZ,37.776222,-122.487551,9,5..10
13054,3054,Balboa St&28TH Ave SW-NS/SB,37.776088,-122.487769,33,20..50
13055,3055,Balboa St&30TH Ave NW-FS/PS,37.776114,-122.489958,12,10..20
13056,3056,Balboa St&30TH Ave SW-NS/SB,37.775989,-122.489912,35,20..50
13057,3057,Balboa St&32ND Ave NE-NS/PS,37.776024,-122.491838,7,5..10
13058,3058,Balboa St&32ND Ave SW-NS/PS,37.77589,-122.492056,81,50..100
13059,3059,Balboa St&34TH Ave SW-NS/SB,37.775791,-122.494199,82,50..100
13060,3060,Balboa St&35TH Ave N-MB/PS,37.775898,-122.494577,27,20..50
13061,3061,Balboa St&37TH Ave NE-NS/PS,37.775781,-122.497202,78,50..100
13062,3062,Balboa St&37TH Ave SW-NS/PS,37.775647,-122.497419,136,100..200
13063,3063,Balboa St&40TH Ave NE-NS/PS,37.775637,-122.500399,27,20..50
13064,3064,Balboa St&40TH Ave SW-NS/PS,37.775503,-122.500617,59,50..100
13065,3065,Balboa St&43RD Ave NE-NS/PS,37.775484,-122.50362,18,10..20
13066,3066,Balboa St&43RD Ave SW-NS/PS,37.77535,-122.503838,38,20..50
13067,3067,Balboa St&Arguello Blvd NW-FS/BZ,37.77747,-122.45886,42,20..50
13070,3070,Balboa St&Park Presidio Blvd NW-FS,37.776895,-122.472227,29,20..50
13071,3071,Balboa St&Park Presidio Blvd SW-NS,37.776788,-122.472411,60,50..100
13072,3072,Broderick St&Bay St SE-NS/SB,37.801541,-122.444798,1,0..2
13074,3074,Broderick St&Beach St SE-NS/SB,37.803415,-122.445176,2,2..5
13075,3075,Broderick St&Francisco St SE-NS/SB,37.800622,-122.444603,1,0..2
13076,3076,Broderick St&Jefferson St SE-NS/PS,37.804343,-122.44536,3,2..5
13077,3077,Broderick St&North Point St SE-NS/PS,37.802478,-122.444982,1,0..2
13082,3082,Broadway&Columbus Ave SE-FS/BZ,37.797831,-122.406345,133,100..200
13084,3084,Broadway&Montgomery St SW-NS/BB,37.798134,-122.40396,65,50..100
13085,3085,Broadway&Steiner St NE-NS/PS,37.794131,-122.436442,4,2..5
13086,3086,Broadway&Steiner St SE-FS/PS,37.794056,-122.436278,12,10..20
13087,3087,Broadway&Stockton St SE-FS/BZ,37.797591,-122.408294,343,200..500
13089,3089,Beale St&Mission St W-MB/BZ,37.791939,-122.396879,70,50..100
13092,3092,Beach St&Mason St SW-NS/PS,37.807407,-122.414125,15,10..20
13093,3093,Beach St&Polk St N-MB/BZ,37.806375,-122.423195,247,200..500
13095,3095,Beach St&Stockton St SW-NS/PS,37.807841,-122.41081,30,20..50
13096,3096,Bemis St&Moffitt St E-FS/SB,37.736655,-122.431181,0,0..2
13103,3103,3rd St&20th St NE-FS/FL,37.76079,-122.38846,300,200..500
13104,3104,3rd St&20th St NW-NS/SB,37.76059,-122.3887,68,50..100
13107,3107,3rd St&23rd St NE-FS/BZ,37.75569,-122.3879,3,2..5
