ObjectID,GlobalID,Seating,Shelter,ETA Screen,Curb,Stop ID (NextBus),headway,Route_All,Route_1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Notes,Seating #,Route Map,Island?,Signage,any_signage,Signage_Comb,half,x,y,best_signage
8,fdfd0591-d7c3-4345-a2b8-b1848fe18a7c,no,no,no,clear,,10_20_min,10,10,,,,,,,,,,,no,,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.3984589,37.75988664,3 paint_on_metal_pole
9,9d391064-4ebe-4509-9f56-7ad4ae60d8d9,no,no,no,clear,16964,10_20_min,19,19,,,,,,,,,,,no,,metal_sign,yes,metal_sign,South,-122.3987162,37.75348047,0 metal_sign
10,5378706e-f76e-4819-b90c-5be2db13c1ed,no,no,no,clear,,10_20_min,10,10,,,,,,,,,,,no,,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.39863,37.75476709,3 paint_on_metal_pole
11,6cc6cb7c-969e-4c15-b8f7-5317f745363b,no,no,no,parking_obstructed,16966,10_20_min,10,10,,,,,,,,,,,no,,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.3987659,37.75560922,3 paint_on_metal_pole
12,d2359b76-9598-4083-93ea-0aaeeaa9b34a,no,no,no,parking_obstructed,,10_20_min,10,10,,,,,,,,,Telephone pole,,no,,paint_on_telephone_pole,yes,paint_on_telephone_pole,North,-122.3988794,37.75714533,2 paint_on_telephone_pole
13,d6db2ff3-1b75-40c7-bddf-38eb8bd72298,no,no,no,parking_obstructed,,10_20_min,10,10,,,,,,,,,,,no,,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.398038,37.75997402,3 paint_on_metal_pole
14,0bc7ab8d-e375-4ab7-b38f-524c800c055e,no,no,no,clear,,10_20_min,10,10,,,,,,,,,Bad,,no,,no_sign,no,z_no_sign,North,-122.3980392,37.75748229,5 no_sign
15,7ba8817f-f996-40a8-a120-a52fcab67473,no,no,no,clear,,10_20_min,10,10,,,,,,,,,,,no,,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.3980003,37.75605623,3 paint_on_metal_pole
16,10ea0be3-89df-4b7d-8364-b5bed8267cb3,no,no,no,parking_obstructed,14356,10_20_min,19,19,,,,,,,,,,,no,,paint_on_pavement,yes,paint_on_pavement,South,-122.4005961,37.75475855,4 paint_on_pavement
17,76ef3028-ad10-43a4-ae29-8c55632b5992,no,no,no,parking_obstructed,13452,10_20_min,"10, 19, 48",10,19,48,,,,,,,,,no,,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4018854,37.75458554,3 paint_on_metal_pole
18,6205c3c7-ae70-4c6e-a165-362ff8e6e185,no,no,no,parking_obstructed,13450,10_20_min,"10, 48",10,48,,,,,,,,,,no,,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4028126,37.75444837,3 paint_on_metal_pole
19,fbacc4cc-4787-4025-9ed6-1c3c937245d5,no,no,no,clear,,10_min,9,9,,,,,,,,,Pavement Paint,,no,,paint_on_pavement,yes,paint_on_pavement,North,-122.4078654,37.76804659,4 paint_on_pavement
20,40847cd8-52b7-48ed-801d-486250ab72bc,yes,yes,"yes_not_working,no",parking_obstructed,16195,10_20_min,19,19,,,,,,,,,Broken Glass,2,yes,no,no_sign,no,z_no_sign,South,-122.4016799,37.75448228,5 no_sign
21,bd8a2615-d5a3-4895-b220-a1df914a8d79,no,no,no,parking_obstructed,13516,10_20_min,"10, 19, 48",10,19,48,,,,,,,,,no,no,paint_on_pavement,yes,paint_on_pavement,South,-122.4001079,37.75083263,4 paint_on_pavement
