stop_code,BS_ID,STOP_NAME,STOP_LAT,STOP_LONG,max_ons,log_max_ons
10390,390,19th Ave&Holloway Ave NE-FS/BZ,37.72119,-122.4751,165,100..200
13016,3016,3rd St&Mission Rock St S-FS/SB,37.77262,-122.38979,6,5..10
13018,3018,Bacon St&San Bruno Ave N-MB/BZ,37.72774,-122.40324,39,20..50
13019,3019,Bacon St&San Bruno Ave E-FS/BZ,37.72765,-122.40327,206,200..500
13020,3020,Bacon St&Somerset St NE-NS,37.72667,-122.40746,2,2..5
13021,3021,Bacon St&Somerset St SW-NS,37.72654,-122.40766,3,2..5
13023,3023,Baker Beach Parking Lot SW-FS/SB,37.79025,-122.48226,12,10..20
13024,3024,Baker St&Greenwich St SE-NS,37.79761,-122.44569,1,0..2
13031,3031,Bay St&Midway St SE-FS/SB,37.80609,-122.40916,29,20..50
13072,3072,Broderick St&Bay St SE-NS/SB,37.80154,-122.4448,0,0..2
13074,3074,Broderick St&Beach St SE-NS/SB,37.80342,-122.44518,0,0..2
13075,3075,Broderick St&Francisco St SE-NS/SB,37.80062,-122.4446,1,0..2
13076,3076,Broderick St&Jefferson St SE-NS/PS,37.80434,-122.44536,2,2..5
13077,3077,Broderick St&North Point St SE-NS/PS,37.80248,-122.44498,1,0..2
13082,3082,Broadway&Columbus Ave SE-FS/BZ,37.79783,-122.40635,27,20..50
13084,3084,Broadway&Montgomery St SW-NS/BB,37.79813,-122.40396,20,20..50
13085,3085,Broadway&Steiner St NE-NS/PS,37.79413,-122.43644,1,0..2
13086,3086,Broadway&Steiner St SE-FS/PS,37.79406,-122.43628,4,2..5
13087,3087,Broadway&Stockton St SE-FS/BZ,37.79759,-122.40829,54,50..100
13089,3089,Beale St&Mission St W-MB/BZ,37.79194,-122.39688,26,20..50
13092,3092,Beach St&Mason St SW-NS/PS,37.80741,-122.41413,9,5..10
13093,3093,Beach St&Polk St N-MB/BZ,37.80638,-122.4232,52,50..100
13095,3095,Beach St&Stockton St SW-NS/PS,37.80784,-122.41081,3,2..5
13103,3103,3rd St&20th St NE-FS/FL,37.76079,-122.38846,35,20..50
13104,3104,3rd St&20th St NW-NS/SB,37.76059,-122.3887,8,5..10
13107,3107,3rd St&23rd St NE-FS/BZ,37.75569,-122.3879,4,2..5
